year,	project,	student,	mentors
2017,	GPU accelerated comparative phylogenetic analysis with uncertainty,	Evandro Taquary	Erin Hodgess
2017,	Improved functionality for higher order comoment estimation in PerformanceAnalytics,	Brian G. Peterson 
2017,	Integrated Oversampling for Sequence Classification (IOSC),	Matthew Dixon Diego Klabjan 
